amr1
"# ::id 0
# ::annotator indoamrbart-mbart-fted
# ::snt ""Amrozi menuduh saudaranya, yang ia sebut """"saksi"""", dengan sengaja mendistorsi buktinya.""
(z0 / menu-01
                                                        :mod (z9 / Medicaid))))
                       :manner (z10 / hanya))))"
"# ::id 238
# ::annotator indoamrbart-mbart-fted
# ::snt Loyalis Saddam telah disalahkan karena menyabot infrastruktur negara, serta sering serangan terhadap tentara AS.
(z0 / dan
    :op1 (z1 / sabot-01
             :ARG0 (z2 / orang
                       :wiki -
                       :name (z3 / nama
                                 :op1 ""Loyalis""
                                 :op2 ""Saddam""))
             :ARG1 (z4 / infrastruktur
                       :poss (z5 / negara)))
    :op2 (z6 / menyerang-01
             :ARG0 z2
             :ARG1 (z7 / tentara
                       :mod (z8 / negara
                                :wiki ""UnitedStates""
                                :name (z9 / nama
                                          :op1 ""U.S."")))
             :frequency (z10 / sering)))"
"# ::id 239
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Ini mata hitam yang sangat besar,"""" kata Ketua Perusahaan New York Times, Arthur Sulzberger.""
(z0 / ujar-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Arthur""
                        :op2 ""Sulzberger"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG1 (z4 / perusahaan
                                     :wiki ""NewYorkTimes""
                                     :name (z5 / nama
                                               :op1 ""New""
                                               :op2 ""York""
                                               :op3 ""Times""))
                           :ARG2 (z6 / ketua)))
    :ARG1 (z7 / besar
              :domain (z8 / mata
                          :mod (z9 / hitam)
                          :mod (z10 / ini))
              :degree (z11 / sangat)))"
"# ::id 240
# ::annotator indoamrbart-mbart-fted
# ::snt Penyanyi Brandy dan suaminya, Robert Smith, menyebutnya berhenti.
(z0 / panggilan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Robert""
                        :op2 ""Smith"")
              :ARG0-of (z3 / memiliki-peran-rel-91
                           :ARG1 (z4 / orang
                                     :wiki -
                                     :name (z5 / nama
                                               :op1 ""Brandy""))
                           :ARG2 (z6 / suami)))
    :ARG1 (z7 / berhenti-01
              :ARG0 z1))"
"# ::id 241
# ::annotator indoamrbart-mbart-fted
# ::snt ""Dia memberi tahu Murray, """"Kami ... kami memiliki ... udara segar turun dengan cepat!""""""
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Murray""))
    :ARG1 (z3 / memiliki-01
              :ARG0 (z4 / kita)
              :ARG1 (z5 / udara
                        :ARG1 (z6 / segar))
              :manner (z7 / cepat))
    :ARG2 (z8 / orang
              :wiki -
              :name (z9 / nama
                        :op1 ""Murray"")))"
"# ::id 242
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Kampanye Presiden pada tahun 2000 menetapkan standar untuk pengungkapan dalam penggalangan dana politik, dan kampanye akan kembali pada tahun 2004,"""" kata juru bicara kampanye Bush Dan Ronayne.""
(z0 / kata-01
    :ARG0 (z1 / orang
              :ARG0 (z2 / juru-bicara
                        :poss (z3 / kampanye
                                  :poss (z4 / orang
                                            :wiki -
                                            :name (z5 / nama
                                                      :op1 ""Bush"")))))
    :ARG1 (z6 / dan
              :op1 (z7 / menetapkan-01
                       :ARG0 (z8 / kampanye
                                 :poss (z9 / orang
                                           :ARG0-of (z10 / memiliki-peran-org-91
                                                         :ARG2 (z11 / presiden))))
                       :ARG1 (z12 / standar
                                  :purpose (z13 / ungkap-01
                                                :ARG1 (z14 / dana
                                                           :mod (z15 / politik))))
                       :time (z16 / entitas-tanggal))
              :op2 (z17 / kembali-01
                        :ARG1 (z18 / kampanye)
                        :time (z19 / entitas-tanggal))))"
"# ::id 243
# ::annotator indoamrbart-mbart-fted
# ::snt ""Pada 11 April, Walikota Bart Peterson mengatakan """"tidak dapat dibayangkan"""" bahwa maskapai akan melanjutkan operasi di pangkalan yang telah mempekerjakan 1.500 pekerja, termasuk 1.100 mekanik.""
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Bart""
                        :op2 ""Peterson"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG2 (z4 / walikota)))
    :ARG1 (z5 / mungkin-01
              :polarity -
              :ARG1 (z6 / bayangkan-01
                        :ARG0 (z7 / aku)
                        :ARG1 (z8 / lanjut-01
                                  :ARG0 (z9 / maskapai)
                                  :ARG1 (z10 / beroperasi-01
                                             :ARG0 z9
                                             :location (z11 / pangkalan
                                                            :ARG0-of (z12 / mempekerjakan-01
                                                                          :ARG1 (z13 / orang
                                                                                     :ARG0-of (z14 / bekerja-01))
                                                                          :ARG2-of (z15 / termasuk-01
                                                                                        :ARG1 (z16 / mekanik))))))))
    :time (z17 / entitas-tanggal))"
"# ::id 244
# ::annotator indoamrbart-mbart-fted
# ::snt Dotson ditangkap Senin di negara asalnya Maryland dan didakwa melakukan pembunuhan.
(z0 / dan
    :op1 (z1 / tangkap-01
             :ARG0 (z2 / orang
                       :wiki -
                       :name (z3 / nama
                                 :op1 ""Dotson""))
             :time (z4 / entitas-tanggal
                       :weekday (z5 / senin))
             :location (z6 / negara
                           :wiki ""Maryland""
                           :name (z7 / nama
                                     :op1 ""Maryland"")))
    :op2 (z8 / indikte-01
             :ARG0 z2
             :ARG1 (z9 / pembunuhan)))"
"# ::id 245
# ::annotator indoamrbart-mbart-fted
# ::snt Kerabat terdekatnya adalah katak keluarga yang disebut Sooglossidae yang hanya ditemukan di Seychelles di Samudra Hindia.
(z0 / memiliki-derajat-91
    :ARG1 (z1 / orang
              :ARG0-of (z2 / memiliki-peran-rel-91
                           :ARG1 (z3 / dia)
                           :ARG2 (z4 / saudara)))
    :ARG2 (z5 / dekat)
    :ARG3 (z6 / sama)
    :ARG4 (z7 / katak
              :poss (z8 / keluarga
                        :wiki -
                        :name (z9 / nama
                                  :op1 ""Sooglossidae""))
              :ARG1-of (z10 / menemukan-01
                            :location (z11 / kota
                                           :wiki ""Seychelles""
                                           :name (z12 / nama
                                                      :op1 ""Seychelles"")
                                           :location (z13 / SamudraHindia))
                            :mod (z14 / hanya))))"
"# ::id 246
# ::annotator indoamrbart-mbart-fted
# ::snt Lain dalam kondisi serius di Northwest Medical Center di Springdale.
(z0 / kondisi-01
    :ARG1 (z1 / aku)
    :location (z2 / fasilitas
                  :wiki -
                  :name (z3 / nama
                            :op1 ""Northwest""
                            :op2 ""Medical""
                            :op3 ""Center"")
                  :location (z4 / Springdale))
    :manner (z5 / serius-01))"
"# ::id 247
# ::annotator indoamrbart-mbart-fted
# ::snt Dengan pengecualian menari, aktivitas fisik tidak mengurangi risiko.
(z0 / mitigasi-01
    :polarity -
    :ARG0 (z1 / aktivitas
              :mod (z2 / fisik))
    :ARG1 (z3 / risiko-01)
    :manner (z4 / menari-01))"
"# ::id 248
# ::annotator indoamrbart-mbart-fted
# ::snt Catatan 1 5/8 persen matang pada April 2005 memperoleh 1/16 menjadi 100 13/32, menurunkan hasil 1 basis poin menjadi 1,41 persen.
(z0 / dan
    :op1 (z1 / memperoleh-01
             :ARG0 (z2 / orang
                       :ARG1-of (z3 / matang-01)
                       :mod (z4 / entitas-persentase))
             :ARG1-of (z5 / entitas-laju-91
                          :ARG4 (z6 / entitas-tanggal)))
    :op2 (z7 / turun-01
             :ARG0 (z8 / catatan
                       :mod (z9 / entitas-laju-91
                                :ARG2 (z10 / entitas-tanggal)))
             :ARG1 (z11 / hasil
                        :mod (z12 / entitas-persentase))
             :ARG4 (z13 / entitas-persentase)))"
"# ::id 249
# ::annotator indoamrbart-mbart-fted
# ::snt Bush telah berusaha untuk menyimpan surat-suratnya di perpustakaan presiden ayahnya, di mana mereka akan tetap rahasia selama setengah abad.
(z0 / berusaha-01
    :ARG0 (z1 / dia)
    :ARG1 (z2 / simpan-01
              :ARG0 z1
              :ARG1 (z3 / surat
                        :poss z1)
              :location (z4 / perpustakaan
                            :poss (z5 / orang
                                      :ARG0-of (z6 / memiliki-peran-rel-91
                                                   :ARG1-of (z7 / memiliki-peran-rel-91
                                                                :ARG2 (z8 / ayah)))))
              :location (z9 / rahasia
                            :duration (z10 / kuantitas-sementara
                                           :unit (z11 / abad)))))"
"# ::id 250
# ::annotator indoamrbart-mbart-fted
# ::snt Williams berkulit putih, dan empat korbannya berkulit hitam;yang kelima putih.
(z0 / dan
    :op1 (z1 / hitam-01
             :ARG0 (z2 / orang
                       :ARG0-of (z3 / korban-01))
             :ARG1-of (z4 / putih-02))
    :op2 (z5 / hitam-01
             :ARG0 (z6 / orang
                       :ARG1-of (z7 / korban-01))
             :ARG1 (z8 / orang
                       :ARG1-of (z9 / putih-02)))
    :op3 (z10 / putih-02
              :ARG1 (z11 / orang
                         :ARG1-of (z12 / korban-01))))"
"# ::id 251
# ::annotator indoamrbart-mbart-fted
# ::snt Sidang tentang masalah ini diadakan Kamis pagi di Pengadilan Tinggi Kabupaten Fulton, menandai salah satu langkah awal dalam memutuskan kasus Matthew Whitley.
(z0 / tuan-01
    :ARG0 (z1 / pengadilan
              :wiki -
              :name (z2 / nama
                        :op1 ""Fulton""
                        :op2 ""Supreme""
                        :op3 ""Court""))
    :ARG1 (z3 / dang
              :mod (z4 / masalah))
    :time (z5 / entitas-tanggal
              :dayperiod (z6 / pagi
                             :mod (z7 / ini)))
    :location (z8 / kota
                  :wiki ""Fulton,Fulton,Massachusetts""
                  :name (z9 / nama
                            :op1 ""Fulton""))
    :ARG0-of (z10 / tanda-01
                  :ARG1 (z11 / langkah
                             :mod (z12 / awal
                                       :ARG0 z1
                                       :ARG1 (z14 / kasus
                                                  :poss (z15 / orang
                                                             :wiki -
                                                             :name (z16 / nama
                                                                        :op1 ""Matthew""
                                                                        :op2 ""Whitley"")))))))"
"# ::id 252
# ::annotator indoamrbart-mbart-fted
# ::snt Seni membantu melatih kaum muda di tim sepak bola kelas delapan di Lombardi Middle School di Green Bay.
(z0 / membantu-01
    :ARG0 (z1 / orang
              :ARG0-of (z2 / memiliki-peran-org-91
                           :ARG2 (z3 / sekolah
                                     :wiki -
                                     :name (z4 / nama
                                               :op1 ""Green""
                                               :op2 ""Bay""))))
    :ARG1 (z5 / melatih-01
              :ARG0 z1
              :ARG1 (z6 / muda)
              :location (z7 / tim
                            :mod (z8 / sepak-bola)
                            :mod (z9 / kelas
                                     :ord (z10 / entitas-ordinal))
                            :location (z11 / sekolah
                                           :wiki -
                                           :name (z12 / nama
                                                      :op1 ""Lombardi""
                                                      :op2 ""Middle""
                                                      :op3 ""School"")
                                           :location (z13 / kota
                                                          :wiki ""GreenBay,GreenBay""
                                                          :name (z14 / nama
                                                                     :op1 ""Green""
                                                                     :op2 ""Bay""))))))"
"# ::id 253
# ::annotator indoamrbart-mbart-fted
# ::snt Atlantic Coast akan melanjutkan operasinya sebagai pembawa Delta Connections.
(z0 / lanjut-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Atlantic""
                        :op2 ""Coast""))
    :ARG1 (z3 / operasi
              :poss (z1000 / pembawa-01
                           :ARG0 z1000
                           :ARG1 (z5 / jaringan
                                     :wiki ""DeltaConnections""
                                     :name (z6 / nama
                                               :op1 ""Delta""
                                               :op2 ""Connections"")))))"
"# ::id 254
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Sungguh menakjubkan menjadi bagian dari industri yang memberi penghargaan pada anak-anaknya,"""" kata Hernandez, yang merupakan lulusan baru dari Parsons School of Design.""
(z0 / ujar-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Hernandez""))
    :ARG1 (z3 / menakjubkan-01
              :ARG0 (z4 / bagian
                        :part-of (z5 / industri
                                     :ARG0-of (z6 / penghargaan-01
                                                  :ARG1 (z7 / anak
                                                            :poss z1)))))
    :ARG1 (z8 / lulus-01
              :ARG0 (z9 / orang
                        :wiki -
                        :name (z10 / nama
                                   :op1 ""Parsons""))
              :ARG1 (z11 / sekolah
                         :wiki -
                         :name (z12 / nama
                                    :op1 ""Parsons""
                                    :op2 ""School""
                                    :op3 ""of""
                                    :op4 ""Design""))
              :ARG1-of (z13 / baru-01)))"
"# ::id 255
# ::annotator indoamrbart-mbart-fted
# ::snt Pengusaha flamboyan menandai rencana itu setelah pertemuan di London dengan Menteri Pariwisata Australia Joe Hockey.
(z0 / tanda-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Peng""
                        :op2 ""Hockey"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG2 (z4 / pengusaha
                                     :mod (z5 / flamboyan))))
    :ARG1 (z6 / rencana
              :mod (z7 / itu))
    :time (z8 / setelah
              :op1 (z9 / bertemu-01
                       :ARG0 z1
                       :ARG1 (z10 / orang
                                  :wiki -
                                  :name (z11 / nama
                                             :op1 ""Joe""
                                             :op2 ""Hockey"")
                                  :ARG0-of (z12 / memiliki-peran-org-91
                                                :ARG1 (z13 / negara
                                                           :wiki ""Australia""
                                                           :name (z14 / nama
                                                                      :op1 ""Australia""))
                                                :ARG2 (z15 / menteri
                                                           :topic (z16 / pariwisata))))
                       :location (z17 / kota
                                      :wiki ""London""
                                      :name (z18 / nama
                                                 :op1 ""London"")))))"
"# ::id 256
# ::annotator indoamrbart-mbart-fted
# ::snt Ryan Harvey, pemain luar dari Dunedin High School di Florida, terpilih dengan pick keenam oleh Chicago Cubs.
(z0 / pilih-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Ryan""
                        :op2 ""Harvey"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG1 (z4 / sekolah
                                     :wiki -
                                     :name (z5 / nama
                                               :op1 ""Dunedin""
                                               :op2 ""High""
                                               :op3 ""School"")
                                     :location (z6 / negara
                                                   :wiki ""Florida""
                                                   :name (z7 / nama
                                                             :op1 ""Florida"")))
                           :ARG2 (z8 / pemain
                                     :mod (z9 / luar))))
    :ARG1 (z10 / pick
               :mod (z11 / keenam)
               :poss (z12 / tim
                          :wiki ""ChicagoCubs""
                          :name (z13 / nama
                                     :op1 ""Chicago""
                                     :op2 ""Cubs""))))"
"# ::id 257
# ::annotator indoamrbart-mbart-fted
# ::snt Pada pukul 8 pagi hari Jumat, deputi sheriff Kabupaten San Joaquin menemukan mayat Adan Avalos, 37.
(z0 / menemukan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""San""
                        :op2 ""Joaquin"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG2 (z4 / deputi
                                     :mod (z5 / sheriff))))
    :ARG1 (z6 / tubuh
              :poss (z7 / orang
                        :wiki -
                        :name (z8 / nama
                                  :op1 ""Adan""
                                  :op2 ""Avalos"")))
    :time (z9 / entitas-tanggal
              :time ""8:00""
              :weekday (z10 / jumat)))"
"# ::id 258
# ::annotator indoamrbart-mbart-fted
# ::snt Saham teknologi membentuk 42 persen dari NASDAQ, yang turun 49,95 poin, atau 2,9 persen, menjadi 1.698,02.
(z0 / bentuk-01
    :ARG0 (z1 / teknologi)
    :ARG1 (z2 / entitas-persentase
              :part-of (z3 / saham
                           :wiki ""NASDAQ""
                           :name (z4 / nama
                                     :op1 ""NASDAQ"")))
    :manner (z5 / atau
                :op1 (z6 / turun-01
                         :ARG1 (z7 / saham)
                         :ARG4 (z8 / entitas-persentase))
                :op2 (z9 / entitas-persentase))
    :time (z10 / entitas-tanggal))"
"# ::id 259
# ::annotator indoamrbart-mbart-fted
# ::snt Thomas bergabung penuh oleh Rehnquist, dan di beberapa bagian oleh O'Connor dan Scalia.
(z0 / dan
    :op1 (z1 / bergabung-01
             :ARG0 (z2 / orang
                       :wiki -
                       :name (z3 / nama
                                 :op1 ""Thomas""
                                 :op2 ""Rehnquist""))
             :ARG1 (z4 / orang
                       :wiki -
                       :name (z5 / nama
                                 :op1 ""O'Connor""))
             :manner (z6 / penuh))
    :op2 (z7 / bagian-01
             :ARG0 (z8 / orang
                       :wiki -
                       :name (z9 / nama
                                 :op1 ""Scalia""))
             :ARG1 (z10 / orang
                        :wiki -
                        :name (z11 / nama
                                   :op1 ""O'Connor""))
             :mod (z12 / beberapa)))"
"# ::id 260
# ::annotator indoamrbart-mbart-fted
# ::snt Sebagian besar dana, sekitar $ 65 miliar, akan digunakan untuk operasi militer di Irak dan Afghanistan.
(z0 / gunakan-01
    :ARG0 (z1 / dana
              :mod (z2 / besar))
    :ARG1 (z3 / operasi
              :mod (z4 / militer)
              :location (z5 / dan
                            :op1 (z6 / negara
                                     :wiki ""Iraq""
                                     :name (z7 / nama
                                               :op1 ""Iraq""))
                            :op2 (z8 / negara
                                     :wiki ""Afghanistan""
                                     :name (z9 / nama
                                               :op1 ""Afghanistan""))))
    :ARG2 (z10 / sekitar
               :op1 (z11 / kuantitas-moneter
                         :unit (z12 / dolar))))"
"# ::id 261
# ::annotator indoamrbart-mbart-fted
# ::snt Kemampuan baru akan memberikan pelanggan IBM cara untuk membuat, menerbitkan, mengelola, dan mengarsipkan konten berbasis web dalam lingkungan intranet, ekstranet, dan internet perusahaan.
(z0 / memberi-01
    :ARG0 (z1 / kemampuan
              :mod (z2 / baru))
    :ARG1 (z3 / cara
              :purpose (z4 / buat-01
                           :ARG0 (z5 / pelanggan
                                     :poss (z6 / perusahaan
                                               :wiki ""IBM""
                                               :name (z7 / nama
                                                         :op1 ""IBM"")))
                           :ARG1 (z8 / dan
                                     :op1 (z9 / buat-01
                                              :ARG0 z5
                                              :ARG1 (z10 / konten
                                                         :mod (z11 / berbasis
                                                                   :mod (z12 / web)))
                                              :location (z13 / lingkungan
                                                             :mod (z14 / intranet)))
                                     :op2 (z15 / ekstranet
                                               :poss z5)
                                     :op3 (z16 / internet
                                               :poss (z17 / perusahaan))))))"
"# ::id 262
# ::annotator indoamrbart-mbart-fted
# ::snt ""Ketika Anda melewati batas, Anda melanggar hak konstitusional, """"kata Charles Weisselberg, seorang profesor hukum UC Berkeley.""
(z0 / kata-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Charles""
                        :op2 ""Weisselberg"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG1 (z4 / universitas
                                     :wiki ""BerkeleyUniversity""
                                     :name (z5 / nama
                                               :op1 ""Berkeley""
                                               :op2 ""University""))
                           :ARG2 (z6 / profesor
                                     :mod (z7 / hukum))))
    :ARG1 (z8 / melanggar-01
              :ARG0 (z9 / anda)
              :ARG1 (z10 / hak
                         :mod (z11 / konstitusional))))"
"# ::id 263
# ::annotator indoamrbart-mbart-fted
# ::snt Pembangkit listrik berbahan bakar gas alam senilai $ 500 juta, misalnya, dapat menggantikan hingga $ 100 juta dalam boiler setiap tahun tanpa menambahkan kontrol kabut asap baru.
(z0 / menggantikan-01
    :ARG0 (z1 / perusahaan
              :wiki -
              :name (z2 / nama
                        :op1 ""Gas""
                        :op2 ""alam"")
              :ARG0-of (z3 / produksi-01
                           :ARG1 (z4 / listrik)))
    :ARG1 (z5 / entitas-laju-91
              :ARG1 (z6 / kuantitas-moneter
                        :unit (z7 / dolar))
              :ARG2 (z8 / kuantitas-sementara
                        :unit (z9 / tahun)))
    :manner (z10 / menambahkan-01
                 :polarity -
                 :ARG0 z1
                 :ARG1 (z11 / kontrol
                            :mod (z12 / kabut
                                      :mod (z13 / asap))
                            :ARG1-of (z14 / baru-01))))"
"# ::id 264
# ::annotator indoamrbart-mbart-fted
# ::snt Pada hari Minggu, para ahli akan melakukan rilis simultan pertama dari lima paus dari satu insiden untai di Amerika Serikat.
(z0 / lepas-01
    :ARG0 (z1 / orang
              :ARG0-of (z2 / ahli-01))
    :ARG1 (z3 / paus)
    :manner (z4 / simultan)
    :time (z5 / entitas-tanggal
              :weekday (z6 / minggu))
    :source (z7 / insiden
                :mod (z8 / untai)
                :location (z9 / negara
                              :wiki ""UnitedStates""
                              :name (z10 / nama
                                         :op1 ""United""
                                         :op2 ""States""))))"
"# ::id 265
# ::annotator indoamrbart-mbart-fted
# ::snt Saham AstraZeneca Azn.N, pembuat obat terbesar kedua di Eropa, naik 3,71 persen menjadi ditutup pada $ 43,05 di New York Stock Exchange.
(z0 / naik-01
    :ARG0 (z1 / perusahaan
              :wiki -
              :name (z2 / nama
                        :op1 ""AstraZeneca""
                        :op2 ""Azn.N"")
              :ARG0-of (z3 / produksi-01
                           :ARG1 (z4 / obat))
              :location (z5 / benua
                            :wiki ""Europe""
                            :name (z6 / nama
                                      :op1 ""Europe""))
              :ARG1-of (z7 / memiliki-derajat-91
                           :ARG2 (z8 / besar)
                           :ARG3 (z9 / sebagian-besar
                                     :ord (z10 / entitas-ordinal))))
    :ARG4 (z11 / entitas-laju-91
               :ARG1 (z12 / entitas-laju-91
                          :ARG1 (z13 / kuantitas-moneter
                                     :unit (z14 / dolar))
                          :ARG2 (z15 / entitas-laju-91
                                     :ARG1 (z16 / entitas-laju-91
                                                :ARG1 (z17 / entitas-laju-91
                                                           :ARG2 (z18 / entitas-laju-91
                                                                      :ARG1 (z19 / kuantitas-moneter
                                                                                 :unit (z20 / dolar)))))
                                     :ARG2 (z21 / entitas-laju-91
                                                :ARG1 (z22 / entitas-laju-91
                                                           :ARG2 (z23 / entitas-laju-91
                                                                      :ARG1 (z24 / entitas-laju-91
                                                                                 :ARG2 (z25 / entitas-tanggal
                                                                                            :dayperiod (z26 / malam)))))))))
    :location (z27 / Exchange
                   :name (z28 / nama
                              :op1 ""New""
                              :op2 ""York""
                              :op3 ""Stock""
                              :op4 ""Exchange"")))"
"# ::id 266
# ::annotator indoamrbart-mbart-fted
# ::snt Gubernur Rick Perry mengatakan bahwa sementara ia menentang ekspansi perjudian, ia akan enggan memveto kelanjutan Komisi Lotere.
(z0 / mengatakan-01
    :ARG0 (z1 / orang
              :wiki ""RickPerry""
              :name (z2 / nama
                        :op1 ""Rick""
                        :op2 ""Perry""))
    :ARG1 (z3 / enggan-01
              :ARG0 (z4 / dia)
              :ARG1 (z5 / makan-01
                        :ARG0 z4
                        :ARG1 (z6 / kelanjutan
                                  :poss (z7 / KomisiLotere)))
              :time (z8 / menentang-01
                        :ARG0 z4
                        :ARG1 (z9 / ekspansi
                                  :mod (z10 / perjudian)))))"
"# ::id 267
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Pemadaman ini sebagian besar dapat dicegah,"""" kata Sekretaris Energi Spencer Abraham.""
(z0 / ujar-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Spencer""
                        :op2 ""Abraham"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG2 (z4 / sekretaris
                                     :mod (z5 / energi))))
    :ARG1 (z6 / mungkin-01
              :ARG1 (z7 / hentikan-01
                        :ARG1 (z8 / madaman
                                  :mod (z9 / ini)))
              :degree (z10 / sebagian-besar)))"
"# ::id 268
# ::annotator indoamrbart-mbart-fted
# ::snt Topan Maemi kemudian pindah ke lautan Jepang, di mana ia melemah, kata departemen meteorologi.
(z0 / kata-01
    :ARG0 (z1 / departemen
              :mod (z2 / meteorologi))
    :ARG1 (z3 / pindah-01
              :ARG0 (z4 / orang
                        :wiki -
                        :name (z5 / nama
                                  :op1 ""Maean""
                                  :op2 ""Maean""))
              :destination (z6 / laut
                               :mod (z7 / negara
                                        :wiki ""Japan""
                                        :name (z8 / nama
                                                  :op1 ""Japan""))
                               :location-of (z9 / melemah-01
                                                :ARG0 z4))
              :time (z10 / lalu)))"
"# ::id 269
# ::annotator indoamrbart-mbart-fted
# ::snt Bersama dengan Chip.m.aker Intel, perusahaan-perusahaan termasuk Sony Corp, Microsoft Corp, Hewlett-Packard Co., International Business Machines Corp, Gateway Inc., Nokia Corp dan lainnya.
(z0 / dan
    :op1 (z1 / perusahaan
             :domain (z2 / perusahaan
                         :wiki ""SonyCorp""
                         :name (z3 / nama
                                   :op1 ""Sony""
                                   :op2 ""Corp"")))
    :op2 (z4 / perusahaan
             :wiki ""MicrosoftCorp""
             :name (z5 / nama
                       :op1 ""Microsoft""
                       :op2 ""Corp""))
    :op3 (z6 / perusahaan
             :wiki ""InternationalBusinessMachinesCorp""
             :name (z7 / nama
                       :op1 ""International""
                       :op2 ""Business""
                       :op3 ""Machines""
                       :op4 ""Corp""))
    :op4 (z8 / perusahaan
             :wiki ""GatewayInc.""
             :name (z9 / nama
                       :op1 ""Gateway""
                       :op2 ""Inc.""))
    :op5 (z10 / perusahaan
              :wiki ""NokiaCorp""
              :name (z11 / nama
                         :op1 ""Nokia"")))"
"# ::id 270
# ::annotator indoamrbart-mbart-fted
# ::snt Pejabat mengembangkan rencana untuk membakar sekitar 2.000 hektar hutan lebat di dekat perbatasan barat daya taman dengan menjatuhkan perangkat pembakar, berharap untuk membakar bahan bakar dari jalur kebakaran hutan.
(z0 / dan
    :op1 (z1 / bakar-01
             :ARG0 (z2 / orang
                       :ARG0-of (z3 / memiliki-peran-org-91
                                    :ARG2 (z4 / resmi)))
             :ARG1 (z5 / hutan
                       :mod (z6 / lebat)
                       :quant (z7 / sekitar
                                  :op1 2000
                                  :unit (z8 / hektar)))
             :location (z9 / dekat
                           :op1 (z10 / perbatasan
                                     :mod (z11 / barat)
                                     :part (z12 / taman))))
    :op2 (z13 / turun-01
              :ARG0 (z14 / orang
                         :ARG0-of (z15 / memiliki-peran-org-91
                                       :ARG2 (z16 / pembakar))))
    :op3 (z17 / bakar-01
              :ARG0 z14
              :ARG1 (z18 / bahan-bakar)
              :source (z19 / jalur
                           :mod (z20 / api
                                     :mod (z21 / hutan)))))"
"# ::id 271
# ::annotator indoamrbart-mbart-fted
# ::snt ""Pada malam terakhir protes, para demonstran """"mengetuk telepon kami, membaca surat kami, leiu harus masuk penjara.""""""
(z0 / dan
    :op1 (z1 / getuk-01
             :ARG0 (z2 / protes)
             :ARG1 (z3 / telepon
                       :poss (z4 / kita)))
    :op2 (z5 / baca-01
             :ARG0 z2
             :ARG1 (z6 / surat
                       :poss z4))
    :time (z7 / entitas-tanggal
              :dayperiod (z8 / malam
                             :mod (z9 / terakhir)))
    :op3 (z10 / saran-01
              :ARG1 (z11 / masuk-01
                         :ARG0 (z12 / leiu)
                         :ARG1 (z13 / penjara))))"
"# ::id 272
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Masih harus dilihat apakah pemulihan pendapatan akan berumur pendek atau berumur panjang,"""" kata Mr. Sprayregen.""
(z0 / ujar-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Mr.""
                        :op2 ""Sprayregen""))
    :ARG1 (z3 / saran-01
              :ARG1 (z4 / lihat-01
                        :ARG0 (z5 / orang
                                  :wiki -
                                  :name (z6 / nama
                                            :op1 ""Mr.""
                                            :op2 ""Sprayregen""))
                        :ARG1 (z7 / atau
                                  :op1 (z8 / pendek-07
                                           :ARG1 (z9 / pulih-01
                                                     :ARG1 (z10 / pendapatan)))
                                  :op2 (z11 / panjang-03
                                            :ARG1-of (z12 / memiliki-derajat-91
                                                          :ARG2 (z13 / pendek-07)
                                                          :ARG3 (z14 / lebih)))))))"
"# ::id 273
# ::annotator indoamrbart-mbart-fted
# ::snt Sekitar 14.000 pelanggan tidak memiliki daya di daerah tersebut, kata Oklahoma Gas dan Electric.
(z0 / kata-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Oklahoma""
                        :op2 ""Gas""
                        :op3 ""Electric""))
    :ARG1 (z3 / ada-02
              :polarity -
              :ARG0 (z4 / pelanggan)
              :ARG1 (z5 / daya)
              :location (z6 / area
                            :mod (z7 / itu))))"
"# ::id 274
# ::annotator indoamrbart-mbart-fted
